iter	Passed	Remaining
0	43	43576
1	91	45625
2	131	43549
3	148	37061
4	163	32450
5	175	29147
6	189	26839
7	201	25000
8	215	23687
9	228	22639
10	241	21711
11	254	20919
12	267	20296
13	279	19696
14	291	19124
15	303	18695
16	316	18291
17	328	17946
18	341	17630
19	353	17340
20	366	17067
21	378	16828
22	390	16583
23	405	16490
24	419	16346
25	432	16211
26	445	16054
27	457	15892
28	471	15778
29	484	15658
30	497	15539
31	508	15389
32	520	15248
33	533	15169
34	546	15061
35	558	14943
36	569	14831
37	581	14732
38	593	14636
39	605	14529
40	618	14457
41	631	14402
42	644	14345
43	656	14263
44	667	14175
45	679	14102
46	692	14032
47	703	13957
48	716	13908
49	728	13850
50	741	13805
51	754	13751
52	766	13696
53	782	13713
54	796	13689
55	808	13635
56	821	13587
57	833	13536
58	846	13500
59	858	13449
60	870	13398
61	881	13337
62	893	13283
63	905	13248
64	918	13213
65	930	13163
66	942	13129
67	954	13084
68	967	13059
69	980	13029
70	994	13018
71	1008	12996
72	1020	12954
73	1031	12908
74	1044	12880
75	1059	12875
76	1072	12850
77	1086	12840
78	1098	12811
79	1111	12779
80	1123	12743
81	1134	12706
82	1147	12679
83	1161	12668
84	1176	12661
85	1189	12637
86	1200	12602
87	1215	12591
88	1226	12559
89	1239	12530
90	1251	12500
91	1264	12478
92	1277	12454
93	1288	12422
94	1300	12391
95	1313	12364
96	1324	12328
97	1337	12307
98	1348	12272
99	1360	12245
100	1373	12221
101	1384	12190
102	1397	12169
103	1410	12153
104	1422	12123
105	1433	12091
106	1445	12063
107	1457	12036
108	1470	12019
109	1484	12009
110	1496	11984
111	1509	11964
112	1521	11944
113	1535	11933
114	1548	11920
115	1562	11904
116	1574	11879
117	1588	11873
118	1602	11864
119	1614	11837
120	1626	11817
121	1639	11798
122	1651	11777
123	1663	11754
124	1675	11725
125	1688	11711
126	1701	11699
127	1714	11681
128	1727	11661
129	1740	11645
130	1751	11621
131	1764	11604
132	1776	11583
133	1789	11567
134	1803	11558
135	1816	11539
136	1828	11516
137	1840	11495
138	1852	11477
139	1864	11455
140	1883	11474
141	1899	11474
142	1915	11477
143	1932	11485
144	1947	11485
145	1961	11474
146	1974	11459
147	1987	11439
148	1998	11413
149	2009	11387
150	2021	11363
151	2033	11346
152	2045	11323
